City_ID,City,Lat,Lng,Max Temp (C),Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,28.06,75,96,1.71,MH,1697989755
1,fort st. john,56.2499,-120.8529,-4.06,93,100,4.12,CA,1697989755
2,saint-francois,46.4154,3.9054,15.69,65,0,1.03,FR,1697989756
3,longyearbyen,78.2186,15.6401,-9.09,79,20,4.12,SJ,1697989756
4,ust-kamenogorsk,49.9789,82.6103,11.96,82,100,5.0,KZ,1697989756
5,coquimbo,-29.9533,-71.3436,17.85,63,0,5.66,CL,1697989756
6,port-aux-francais,-49.35,70.2167,2.61,63,53,12.45,TF,1697989757
7,malango,-2.9627,119.9001,19.03,97,27,1.15,ID,1697989757
8,invercargill,-46.4,168.35,3.34,93,8,0.45,NZ,1697989664
9,rongelap,11.1635,166.8941,28.08,80,100,4.85,MH,1697989757
10,prince rupert,54.3161,-130.3201,6.83,84,75,7.72,CA,1697989758
11,jijiga,9.35,42.8,22.61,42,99,6.76,ET,1697989758
12,tiksi,71.6872,128.8694,-20.11,100,94,0.9,RU,1697989758
13,lubao,14.9167,120.55,26.84,85,99,1.95,PH,1697989759
14,atafu village,-8.5421,-172.5159,27.65,77,97,1.28,TK,1697989759
15,la peca,-5.6111,-78.435,29.65,49,37,1.41,PE,1697989759
16,broome,42.2506,-75.833,7.57,86,100,6.17,US,1697989760
17,port mathurin,-19.6833,63.4167,24.73,81,11,4.41,MU,1697989760
18,alesund,62.4723,6.1549,9.51,65,0,1.03,NO,1697989760
19,badger,64.8,-147.5333,-8.05,81,100,0.0,US,1697989760
20,anadyr,64.75,177.4833,5.28,86,20,13.0,RU,1697989761
21,isafjordur,66.0755,-23.124,6.02,61,100,5.66,IS,1697989761
22,puerto natales,-51.7236,-72.4875,12.25,50,75,5.66,CL,1697989634
23,tazovsky,67.4667,78.7,-2.48,90,100,8.33,RU,1697989761
24,geraldton,-28.7667,114.6,17.23,67,53,5.14,AU,1697989653
25,vorgashor,67.5833,63.95,-4.69,94,94,4.74,RU,1697989762
26,ushuaia,-54.8,-68.3,7.81,66,75,11.32,AR,1697989762
27,mulanje,-16.0316,35.5,29.99,43,100,1.21,MW,1697989762
28,iqaluit,63.7506,-68.5145,-3.15,73,75,9.26,CA,1697989763
29,nadi,-17.8,177.4167,25.0,83,40,2.06,FJ,1697989763
30,st. john's,47.5649,-52.7093,17.66,84,75,12.35,CA,1697989468
31,tura,25.5198,90.2201,20.77,93,17,1.36,IN,1697989763
32,annweiler am trifels,49.2,7.9667,16.3,65,79,2.0,DE,1697989764
33,san jose,37.3394,-121.895,18.66,79,40,5.66,US,1697989676
34,flying fish cove,-10.4217,105.6791,23.82,94,75,1.54,CX,1697989764
35,grytviken,-54.2811,-36.5092,3.03,73,33,4.54,GS,1697989764
36,edinburgh of the seven seas,-37.0676,-12.3116,13.97,85,65,5.13,SH,1697989765
37,margaret river,-33.95,115.0667,13.47,60,91,7.25,AU,1697989765
38,dowlatabad,32.7998,51.6955,15.82,13,0,2.06,IR,1697989765
39,broken hill,-31.95,141.4333,12.24,47,71,5.55,AU,1697989766
40,kidal,18.4411,1.4078,38.11,8,2,5.58,ML,1697989766
41,bayji,34.9311,43.487,26.47,28,86,1.99,IQ,1697989766
42,agadez,19.75,10.25,34.53,10,100,4.01,NE,1697989766
43,port pirie,-33.1833,138.0167,8.99,76,91,2.81,AU,1697989767
44,young,-32.6833,-57.6333,23.04,91,100,4.5,UY,1697989767
45,hermanus,-34.4187,19.2345,19.74,67,79,6.46,ZA,1697989767
46,nar'yan-mar,67.6713,53.087,-0.22,80,93,7.79,RU,1697989768
47,fort bragg,35.139,-79.006,21.13,43,0,7.72,US,1697989768
48,faya-largeau,17.9257,19.1043,36.94,9,0,3.09,TD,1697989768
49,hadibu,12.65,54.0333,26.48,86,100,14.55,YE,1697989768
50,machico,32.7,-16.7667,22.78,80,75,6.17,PT,1697989769
51,kodiak,57.79,-152.4072,-4.27,80,0,0.0,US,1697989769
52,kapuskasing,49.4169,-82.4331,2.05,93,100,3.6,CA,1697989769
53,aykhal,66.0,111.5,-6.23,96,100,4.91,RU,1697989769
54,manghit,42.1156,60.0597,13.99,67,99,6.64,UZ,1697989770
55,arraial do cabo,-22.9661,-42.0278,24.98,57,75,8.23,BR,1697989770
56,praia da vitoria,38.7333,-27.0667,20.98,72,40,7.79,PT,1697989770
57,saint-pierre,-21.3393,55.4781,23.82,69,0,4.12,RE,1697989771
58,queenstown,-31.8976,26.8753,9.81,87,100,3.74,ZA,1697989510
59,tan-tan,28.438,-11.1032,25.97,57,40,5.66,MA,1697989771
60,dudinka,69.4058,86.1778,-2.43,91,100,4.77,RU,1697989771
61,bredasdorp,-34.5322,20.0403,16.69,74,42,8.72,ZA,1697989771
62,ancud,-41.8697,-73.8203,12.72,60,0,3.14,CL,1697989772
63,magadan,59.5667,150.8,1.41,96,100,3.91,RU,1697989772
64,papao,-17.75,-149.55,24.82,80,63,5.67,PF,1697989773
65,whitehorse,60.7161,-135.0538,-8.57,56,100,4.63,CA,1697989773
66,mar del plata,-38.0023,-57.5575,18.01,91,20,4.12,AR,1697989654
67,port-vila,-17.7338,168.3219,23.78,83,75,4.63,VU,1697989773
68,candido de abreu,-24.5669,-51.3333,31.21,29,0,1.33,BR,1697989774
69,waitangi,-43.9535,-176.5597,8.86,64,91,11.74,NZ,1697989774
70,minas de marcona,-15.2119,-75.1103,19.9,70,77,4.97,PE,1697989774
71,ilulissat,69.2167,-51.1,-2.99,54,75,3.6,GL,1697989775
72,palmer,42.1584,-72.3287,12.41,58,75,5.66,US,1697989775
73,puquio,-14.7,-74.1333,16.77,56,70,2.42,PE,1697989775
74,ust-nera,64.5667,143.2,-10.16,96,100,1.9,RU,1697989776
75,raduzhny,62.0961,77.475,-2.56,87,57,2.41,RU,1697989699
76,mili,6.0815,171.735,28.58,78,92,5.66,MH,1697989776
77,iskateley,67.6803,53.1512,-0.26,80,94,7.76,RU,1697989776
78,baiyin,36.5583,104.2081,10.66,42,48,1.01,CN,1697989776
79,pocahontas,36.2615,-90.9712,18.25,54,0,5.66,US,1697989777
80,at-bashi,41.1702,75.8106,5.81,67,23,1.11,KG,1697989777
81,tofol,5.3248,163.0078,28.31,74,51,2.3,FM,1697989777
82,adamstown,-25.066,-130.1015,22.53,77,13,4.71,PN,1697989778
83,nyala,12.05,24.8833,31.39,17,25,3.27,SD,1697989778
84,kittila,67.6647,24.8936,-7.92,93,0,0.51,FI,1697989683
85,darwin,-12.4611,130.8418,27.99,79,20,2.57,AU,1697989778
86,hawaiian paradise park,19.5933,-154.9731,23.35,93,0,2.06,US,1697989779
87,ribeira grande,38.5167,-28.7,20.22,64,40,5.14,PT,1697989779
88,walvis bay,-22.9575,14.5053,18.53,68,75,5.14,NA,1697989779
89,alice springs,-23.7,133.8833,16.75,31,91,2.57,AU,1697989779
90,dawson creek,55.7666,-120.2362,-4.2,86,100,3.09,CA,1697989780
91,vadso,70.0744,29.7487,-0.51,69,75,7.2,NO,1697989780
92,cabo san lucas,22.8909,-109.9124,28.2,92,100,11.83,MX,1697989587
93,mengcheng chengguanzhen,33.2661,116.566,15.12,34,0,2.08,CN,1697989780
94,inarajan village,13.2736,144.7484,28.54,89,87,7.01,GU,1697989781
95,lompoc,34.6391,-120.4579,19.32,54,100,6.71,US,1697989639
96,paris,48.8534,2.3488,16.43,78,75,2.57,FR,1697989584
97,new norfolk,-42.7826,147.0587,12.73,98,80,1.3,AU,1697989781
98,lampang,18.3333,99.5,23.05,94,40,0.2,TH,1697989782
99,albany,42.6001,-73.9662,9.65,78,100,0.89,US,1697989763
100,sapatgram,26.3334,90.109,21.25,77,0,2.07,IN,1697989782
101,san patricio,28.017,-97.5169,29.39,53,100,4.58,US,1697989782
102,weno,7.4515,151.8468,25.97,100,40,1.54,FM,1697989783
103,leava,-14.3,-178.1667,27.05,86,100,6.07,WF,1697989783
104,adolfo lopez mateos,28.4667,-107.3,13.29,77,100,1.72,MX,1697989783
105,happy valley-goose bay,53.3168,-60.3315,5.17,65,75,9.26,CA,1697989513
106,olonkinbyen,70.9221,-8.7187,3.04,84,75,3.99,SJ,1697989784
107,dois vizinhos,-25.7336,-53.0572,30.73,40,2,2.15,BR,1697989784
108,yellowknife,62.456,-114.3525,-5.88,87,20,8.23,CA,1697989613
109,hamilton,39.1834,-84.5333,12.0,73,100,4.12,US,1697989664
110,berezovyy,51.6667,135.7,-0.56,59,0,3.64,RU,1697989785
111,saldanha,-33.0117,17.9442,26.03,71,100,5.08,ZA,1697989785
112,wailua homesteads,22.0669,-159.378,23.24,86,100,2.57,US,1697989785
113,benguela,-12.5763,13.4055,25.32,75,66,3.53,AO,1697989785
114,bethel,41.3712,-73.414,13.2,62,100,5.66,US,1697989679
115,hithadhoo,-0.6,73.0833,27.3,75,99,6.09,MV,1697989786
116,port lincoln,-34.7333,135.8667,11.34,74,25,3.57,AU,1697989786
117,biysk,52.5364,85.2072,8.82,68,100,2.74,RU,1697989786
118,hirara,24.8,125.2833,23.15,73,40,3.09,JP,1697989787
119,brookings,44.3114,-96.7984,9.65,87,0,2.57,US,1697989545
120,stanley,54.868,-1.6985,10.98,75,20,3.6,GB,1697989787
121,usogorsk,63.4106,48.6872,-1.0,79,97,4.26,RU,1697989787
122,port macquarie,-31.4333,152.9167,16.05,48,0,5.72,AU,1697989788
123,cartagena,10.3997,-75.5144,30.79,70,40,2.06,CO,1697989654
124,aasiaat,68.7098,-52.8699,-9.52,80,77,2.53,GL,1697989788
125,ivdel',60.6911,60.4206,-1.4,73,30,4.43,RU,1697989788
126,usinsk,65.9939,57.5281,-1.16,84,100,11.04,RU,1697989789
127,blackmans bay,-43.0167,147.3167,12.07,89,83,0.45,AU,1697989789
128,mizdah,31.4451,12.9801,30.05,21,6,4.98,LY,1697989789
129,kenora,49.8167,-94.4337,9.54,100,100,2.57,CA,1697989789
130,ciudad lazaro cardenas,17.9583,-102.2,27.89,75,63,0.98,MX,1697989790
131,jamestown,42.097,-79.2353,7.23,74,100,8.75,US,1697989498
132,sabha,27.0377,14.4283,33.3,12,0,2.29,LY,1697989790
133,banikoara,11.2985,2.4386,37.05,15,77,3.63,BJ,1697989790
134,clodomira,-27.5744,-64.1311,39.98,23,29,3.04,AR,1697989791
135,udachny,66.4167,112.4,-4.75,92,100,3.31,RU,1697989791
136,xilin hot,43.9667,116.0333,6.79,36,0,3.45,CN,1697989791
137,papatowai,-46.5619,169.4708,3.46,90,3,1.94,NZ,1697989792
138,glace bay,46.1969,-59.957,17.66,86,75,5.81,CA,1697989792
139,puerto ayora,-0.7393,-90.3518,27.98,77,70,4.47,EC,1697989792
140,pandan,14.0453,124.1694,25.74,87,100,2.31,PH,1697989793
141,masuguru,-11.3667,38.4167,34.45,20,0,1.86,TZ,1697989793
142,nemuro,43.3236,145.575,10.98,76,96,9.06,JP,1697989793
143,colares,38.7992,-9.4469,17.43,82,40,5.36,PT,1697989793
144,kapa'a,22.0752,-159.319,23.99,86,100,2.57,US,1697989794
145,afaahiti,-17.75,-149.2833,23.93,85,66,5.72,PF,1697989794
146,la sarre,48.8002,-79.1996,3.34,65,100,6.88,CA,1697989780
147,kirakira,-10.4544,161.9205,25.12,86,84,2.47,SB,1697989795
148,belmonte,-15.8631,-38.8828,26.34,67,94,4.41,BR,1697989539
149,sinop,41.7711,34.8709,20.62,49,100,1.5,TR,1697989795
150,san luis de la loma,17.2706,-100.8939,28.45,77,90,1.12,MX,1697989795
151,port elizabeth,-33.918,25.5701,18.16,67,0,7.72,ZA,1697989759
152,bathsheba,13.2167,-59.5167,30.34,79,40,5.14,BB,1697989796
153,sooke,48.3746,-123.7276,11.27,91,100,3.6,CA,1697989796
154,mitu,1.1983,-70.1733,23.67,95,100,0.47,CO,1697989796
155,avarua,-21.2078,-159.775,24.03,78,75,2.57,CK,1697989797
156,masterton,-40.9597,175.6575,4.94,97,17,0.49,NZ,1697989797
157,takoradi,4.8845,-1.7554,28.68,74,100,4.81,GH,1697989797
158,corozal,9.3151,-75.2928,28.67,72,100,0.99,CO,1697989797
159,kourou,5.1552,-52.6478,32.03,60,79,5.63,GF,1697989798
160,zapolyarnyy,69.4154,30.8136,-1.4,83,87,2.59,RU,1697989798
161,bonthe,7.5264,-12.505,28.38,74,90,4.14,SL,1697989798
162,cukai,4.25,103.4167,26.97,79,4,0.43,MY,1697989798
163,savanna-la-mar,18.219,-78.1332,31.63,59,100,0.79,JM,1697989799
164,mikhaylovsk,45.1283,42.0256,14.12,72,0,3.13,RU,1697989799
165,sampit,-2.5333,112.95,24.72,94,100,0.81,ID,1697989799
166,tolanaro,-25.0319,46.9987,26.04,83,40,9.77,MG,1697989799
167,kalabo,-14.97,22.6814,33.18,21,86,1.38,ZM,1697989800
168,brisas de zicatela,15.8369,-97.0419,27.29,69,40,4.12,MX,1697989800
169,lihue,21.9789,-159.3672,23.58,86,100,2.57,US,1697989800
170,ezhva,61.8128,50.7283,-0.03,80,75,4.0,RU,1697989801
171,doka,13.5167,35.7667,29.98,44,12,0.9,SD,1697989801
172,puerto lopez,4.0845,-72.956,29.82,64,100,3.01,CO,1697989801
173,punta arenas,-53.15,-70.9167,11.06,58,20,10.8,CL,1697989779
174,belyayevka,51.3974,56.4096,2.58,70,44,5.24,RU,1697989802
175,lebu,-37.6167,-73.65,13.02,70,0,8.09,CL,1697989802
176,xinzhou,38.4092,112.7333,12.01,40,8,0.92,CN,1697989802
177,kuqa,41.7278,82.9364,13.81,29,33,1.89,CN,1697989803
178,marka,1.7159,44.7717,26.47,81,33,4.75,SO,1697989803
179,alaghsas,17.0187,8.0168,37.94,9,0,10.29,NE,1697989803
180,shiqian,27.5225,108.2281,15.74,67,0,1.1,CN,1697989803
181,mata-utu,-13.2816,-176.1745,27.64,80,92,3.59,WF,1697989804
182,morant bay,17.8815,-76.4093,32.62,71,99,4.09,JM,1697989804
183,kuacjok,8.3002,27.9903,30.28,51,97,1.87,SS,1697989804
184,calvinia,-31.4707,19.776,24.74,22,74,3.89,ZA,1697989804
185,puerto santa,-8.9906,-78.6456,21.44,82,90,3.39,PE,1697989805
186,qaqortoq,60.7167,-46.0333,2.07,42,100,2.35,GL,1697989805
187,constantia,44.1833,28.65,26.5,57,91,6.62,RO,1697989805
188,colonia,50.9333,6.95,15.32,88,100,1.54,DE,1697989675
189,griffith,41.5284,-87.4237,12.19,72,40,5.14,US,1697989806
190,alofi,-19.0595,-169.9187,18.94,94,100,0.51,NU,1697989806
191,utrik,11.2278,169.8474,27.76,78,100,5.43,MH,1697989806
192,georgetown,5.4112,100.3354,27.23,92,40,1.54,MY,1697989807
193,cotonou,6.3654,2.4183,30.99,74,40,5.66,BJ,1697989807
194,hobyo,5.3505,48.5268,28.21,74,37,6.18,SO,1697989807
195,mount isa,-20.7333,139.5,24.87,20,0,3.09,AU,1697989807
196,peniche,39.3558,-9.3811,17.74,80,100,5.3,PT,1697989808
197,samana,19.2056,-69.3369,32.12,79,75,2.06,DO,1697989552
198,port saint john's,-31.6229,29.5448,17.06,69,100,3.02,ZA,1697989809
199,hengchun,22.0042,120.7439,25.35,81,85,8.66,TW,1697989809
200,kone,-21.0595,164.8658,19.2,88,81,2.12,NC,1697989809
201,sao vicente,-23.9631,-46.3919,30.15,78,75,3.58,BR,1697989810
202,vilyuchinsk,52.9306,158.4028,1.15,66,21,3.07,RU,1697989810
203,mejit,10.2753,170.8646,27.52,81,100,8.31,MH,1697989810
204,ende,-8.8432,121.6623,24.9,82,20,0.49,ID,1697989811
205,crane,31.3974,-102.3501,22.85,62,100,9.98,US,1697989811
206,luganville,-15.5333,167.1667,25.28,89,100,5.91,VU,1697989811
207,margate,51.3813,1.3862,16.04,62,15,0.89,GB,1697989811
208,xining,36.6167,101.7667,6.14,60,60,1.31,CN,1697989812
209,sao joao da barra,-21.6403,-41.0511,24.05,73,100,3.52,BR,1697989742
210,kingston,17.997,-76.7936,31.8,68,20,2.57,JM,1697989812
211,saipan,15.1355,145.701,28.39,78,0,7.72,MP,1697989812
212,cidreira,-30.1811,-50.2056,21.3,79,98,7.89,BR,1697989813
213,pisco,-13.7,-76.2167,20.57,94,100,2.06,PE,1697989813
214,pursat,12.3333,103.6667,23.78,96,100,1.44,KH,1697989813
215,kerikeri,-35.2268,173.9474,10.51,91,17,1.84,NZ,1697989813
216,povoa de lanhoso,41.5787,-8.282,18.9,67,100,1.39,PT,1697989814
217,moose jaw,50.4001,-105.5344,5.14,70,99,1.03,CA,1697989814
218,sechura,-5.5569,-80.8222,26.19,61,36,3.44,PE,1697989814
219,balykchy,42.4557,76.1861,9.12,50,18,0.55,KG,1697989815
220,bilibino,68.0546,166.4372,-10.41,98,71,1.29,RU,1697989815
221,rovaniemi,66.5,25.7167,-5.33,79,0,0.51,FI,1697989815
222,holualoa,19.6228,-155.9522,21.04,95,75,2.24,US,1697989816
223,westport,41.1415,-73.3579,14.07,57,40,7.2,US,1697989816
224,fale old settlement,-9.3852,-171.2468,27.85,75,100,1.36,TK,1697989816
225,dzhubga,44.3211,38.7039,17.93,67,20,1.6,RU,1697989816
226,barcelos,41.5388,-8.6151,20.08,69,100,1.88,PT,1697989817
227,pahrump,36.2083,-115.9839,23.3,28,1,3.58,US,1697989817
228,castillos,-34.1667,-53.8333,19.08,92,100,2.57,UY,1697989817
229,ikungi,-5.1333,34.7667,25.93,21,39,2.4,TZ,1697989817
230,port alfred,-33.5906,26.891,17.88,66,70,1.79,ZA,1697989818
231,constitucion,-35.3333,-72.4167,16.47,70,91,3.96,CL,1697989818
232,natal,-5.795,-35.2094,31.12,58,40,7.2,BR,1697989813
233,west island,-12.1568,96.8225,25.99,78,40,5.14,CC,1697989818
234,san miguel de cauri,-10.1,-76.5833,14.09,51,57,4.27,PE,1697989819
235,kristiansund,63.1115,7.732,9.03,66,0,2.06,NO,1697989819
236,keflavik,64.0049,-22.5624,6.24,81,75,2.06,IS,1697989819
237,vel'sk,61.0701,42.0983,-1.31,93,7,2.43,RU,1697989819
238,la'ie,21.6477,-157.9253,23.98,87,9,1.52,US,1697989820
239,nova sintra,14.8667,-24.7167,23.82,73,43,3.94,CV,1697989820
240,tinajo,29.0788,-13.7081,25.49,61,40,8.23,ES,1697989820
241,rio cuarto,-33.1307,-64.3499,19.87,77,100,4.12,AR,1697989821
242,bokovskaya,49.229,41.8306,8.28,54,76,3.66,RU,1697989821
243,portland,45.5234,-122.6762,14.5,96,100,2.57,US,1697989625
244,lasem,-6.6922,111.4527,26.86,79,56,1.31,ID,1697989821
245,midvagur,62.0511,-7.1939,9.46,93,100,6.69,FO,1697989822
246,codrington,-38.2667,141.9667,9.91,74,44,5.49,AU,1697989822
247,busselton,-33.65,115.3333,13.59,65,87,6.22,AU,1697989822
248,manta,-0.95,-80.7333,25.88,83,75,2.57,EC,1697989823
249,fandriana,-20.2333,47.3833,18.26,86,56,1.33,MG,1697989823
250,motygino,58.1831,94.7592,0.58,82,94,1.78,RU,1697989823
251,chilca,-12.5211,-76.7372,20.6,84,72,2.83,PE,1697989824
252,kontiolahti,62.7602,29.8471,-1.03,94,40,1.03,FI,1697989824
253,kaka,37.3482,59.6143,20.74,30,43,2.62,TM,1697989824
254,jose de freitas,-4.7564,-42.5756,35.53,22,89,1.96,BR,1697989825
255,dalfsen,52.5,6.25,14.51,82,38,3.51,NL,1697989825
256,jeju city,33.5097,126.5219,14.96,67,0,3.09,KR,1697989817
257,thompson,55.7435,-97.8558,2.09,100,75,2.57,CA,1697989825
258,conceicao da barra,-18.5933,-39.7322,24.93,69,98,4.09,BR,1697989826
259,punta cana,18.5818,-68.4043,31.87,66,20,6.17,DO,1697989826
260,sarkand,45.41,79.9186,14.31,53,58,1.89,KZ,1697989826
261,misratah,32.3754,15.0925,24.88,61,19,4.09,LY,1697989827
262,tamanrasset,22.785,5.5228,31.95,11,0,2.57,DZ,1697989827
263,qarazhal,48.0078,70.7903,6.43,66,81,11.95,KZ,1697989828
264,vrangel',42.7297,133.0839,6.94,60,0,3.02,RU,1697989828
265,jiuquan,39.7432,98.5174,9.9,21,0,2.38,CN,1697989828
266,helena valley west central,46.6629,-112.0604,9.85,71,0,3.6,US,1697989828
267,kokpekty,48.75,82.4,10.12,75,98,5.66,KZ,1697989829
268,ko pha ngan,9.7578,100.0291,25.38,73,25,1.99,TH,1697989829
269,azazga,36.7447,4.3722,26.13,21,70,5.86,DZ,1697989829
270,klyuchi,52.2667,79.1667,12.32,61,100,7.95,RU,1697989830
271,kataysk,56.289,62.5841,0.1,65,8,6.8,RU,1697989830
272,aberdeen,57.1437,-2.0981,11.27,66,20,3.6,GB,1697989703
273,zhanaozen,43.3,52.8,8.77,53,0,5.51,KZ,1697989830
274,cruzeiro do sul,-29.5128,-51.9853,30.29,59,100,1.18,BR,1697989831
275,vila franca do campo,37.7167,-25.4333,19.93,99,98,6.73,PT,1697989831
276,coahuayana de hidalgo,18.7,-103.6583,28.54,72,99,0.39,MX,1697989831
277,zhangjiakou,40.81,114.8794,10.77,32,6,1.01,CN,1697989832
278,atherton,53.5237,-2.4935,13.49,73,18,1.02,GB,1697989832
279,tenkodogo,11.78,-0.3697,36.97,21,29,3.28,BF,1697989832
280,figuig (centre),32.1089,-1.2286,26.48,15,3,10.43,MA,1697989833
281,uturoa,-16.7333,-151.4333,26.61,76,19,5.76,PF,1697989833
282,aoulef,26.9667,1.0833,36.38,15,0,4.72,DZ,1697989833
283,bubaque,11.2833,-15.8333,28.56,75,100,2.96,GW,1697989834
284,geidam,12.897,11.9304,36.07,9,37,7.69,NG,1697989834
285,al ghayzah,16.2079,52.176,27.78,79,100,8.97,YE,1697989834
286,pemangkat,1.1667,108.9667,25.34,84,100,0.72,ID,1697989834
287,corn island,12.1694,-83.0418,27.68,82,100,8.47,NI,1697989835
288,riberalta,-10.9833,-66.1,34.11,59,45,3.09,BO,1697989835
289,kushk,33.2957,61.9522,20.21,26,0,3.58,AF,1697989835
